leader_controller,follow_controller,scenario,topology,speed,headway,leader_merged_time,full_merged_time,jerk_rms,jerk_max,jerk_min,min_gap_p2veh1,avg_gap_spacing_p2_others,crash,max_timestamp
dmpc,dmpc,sinu,1,20,0.9,59.6,59.6,2.7802587486918227,127.5,-10.5,22.3065,25.44410354262673,False,100.1
dmpc,pid,sinu,1,20,0.9,59.0,59.0,1.2539382554524945,23.1818,-41.4116,22.3961,25.429115247813414,False,100.1
dmpc,consensus,sinu,1,20,0.9,59.4,59.4,0.8019041884773203,23.1818,-15.595,22.364,25.21559528629265,False,100.1
dmpc,hinf,sinu,1,20,0.9,59.4,59.4,0.7542596224958156,23.1818,-11.8489,22.3569,25.43946012145749,False,100.1
dmpc,cacc,sinu,1,20,0.9,60.2,60.2,0.5062269215166525,23.1818,-5.3303,22.2443,25.633750569151964,False,100.1
pid,dmpc,sinu,1,20,0.9,59.6,59.6,2.781017795670986,127.5,-10.5,22.2355,25.441176987327193,False,100.1
pid,pid,sinu,1,20,0.9,58.7,58.7,1.2376759737159633,23.1818,-40.1451,22.3852,25.440004752126725,False,100.1
pid,consensus,sinu,1,20,0.9,59.2,59.2,0.8036962595197623,23.1818,-15.5005,22.3539,25.220631475029037,False,100.1
pid,hinf,sinu,1,20,0.9,59.2,59.2,0.7459892331414083,23.1818,-11.5681,22.3463,25.44716785714286,False,100.1
pid,cacc,sinu,1,20,0.9,60.1,60.1,0.505697896658302,23.1818,-5.3209,22.2273,25.639673766752207,False,100.1
consensus,dmpc,sinu,1,20,0.9,60.2,60.2,2.764843586852782,127.5,-11.0,22.2168,25.41694393853159,False,100.1
consensus,pid,sinu,1,20,0.9,58.6,58.6,1.3057581555014068,23.1818,-44.0915,22.3627,25.445490770135216,False,100.1
consensus,consensus,sinu,1,20,0.9,59.0,59.0,0.8143317600561976,23.1818,-16.1247,22.3274,25.227731807580174,False,100.1
consensus,hinf,sinu,1,20,0.9,59.1,59.1,0.7610850162433248,23.1818,-12.7733,22.3189,25.452828833284844,False,100.1
consensus,cacc,sinu,1,20,0.9,60.1,60.1,0.5075324099092425,23.1818,-5.6176,22.1848,25.640847875677217,False,100.1
hinf,dmpc,sinu,1,20,0.9,59.6,59.6,2.780247418062853,127.5,-10.5,22.2914,25.441471198156684,False,100.1
hinf,pid,sinu,1,20,0.9,58.9,58.9,1.2538875791677684,23.1818,-41.4091,22.398,25.43253932223196,False,100.1
hinf,consensus,sinu,1,20,0.9,59.4,59.4,0.8025787898247237,23.1818,-15.629,22.3691,25.215243666859458,False,100.1
hinf,hinf,sinu,1,20,0.9,59.4,59.4,0.747341054134143,23.1818,-11.896,22.3621,25.439092972816656,False,100.1
hinf,cacc,sinu,1,20,0.9,60.2,60.2,0.5051897952582453,23.1818,-5.3619,22.2521,25.633388389299945,False,100.1
cacc,dmpc,sinu,1,20,0.9,60.9,60.9,2.7435403682934565,127.5,-11.0,22.2363,25.382095986528206,False,100.1
cacc,pid,sinu,1,20,0.9,61.0,61.0,1.1608651571081567,23.1818,-36.5304,22.3834,25.350557535014005,False,100.1
