leader_controller,follow_controller,scenario,topology,speed,headway,leader_merged_time,full_merged_time,jerk_rms,jerk_max,jerk_min,min_gap_p2veh1,avg_gap_spacing_p2_others,crash,max_timestamp
consensus,cacc,sinu,1,10,0.6,51.2,51.2,0.5853563485809555,23.1818,-5.198,13.3893,15.14700065880721,False,100.1
consensus,cacc,sinu,1,10,0.9,64.0,64.0,0.4909974950245371,23.1818,-5.0649,13.4402,16.926393544973546,False,100.1
consensus,cacc,sinu,1,10,1.2,61.0,61.0,0.4923641243590788,23.1818,-5.5712,16.3987,20.80594218487395,False,100.1
consensus,cacc,sinu,1,20,0.6,60.4,60.4,0.5234720410896645,23.1818,-4.7322,15.9543,18.5604733276644,False,100.1
consensus,cacc,sinu,1,20,0.9,60.1,60.1,0.5075324099092425,23.1818,-5.6176,22.1848,25.640847875677217,False,100.1
consensus,cacc,sinu,1,20,0.9,60.1,60.1,0.5075324099092425,23.1818,-5.6176,22.1848,25.640847875677217,False,100.1
consensus,cacc,sinu,1,20,1.2,60.3,60.3,0.48979766715349504,23.1818,-4.4533,28.3983,32.57487137176938,False,100.1
consensus,cacc,sinu,1,30,0.6,59.9,59.9,0.5244538907564317,23.1818,-5.1138,21.9542,24.506206928142,False,100.1
consensus,cacc,sinu,1,30,0.9,59.6,59.6,0.5055321159925442,23.1818,-4.3211,31.1846,34.50670411866359,False,100.1
consensus,cacc,sinu,1,30,1.2,59.7,59.7,0.49040764113582735,23.1818,-5.0234,40.3978,44.33188413337166,False,100.1
